,number_of_commits,number_of_unique_committers,week,repoID
102,0,0,2017-03-26 00:00:00+00:00,33628160
103,0,0,2017-04-02 00:00:00+00:00,33628160
104,0,0,2017-04-09 00:00:00+00:00,33628160
105,2,2,2017-04-16 00:00:00+00:00,33628160
106,3,2,2017-04-23 00:00:00+00:00,33628160
107,0,0,2017-04-30 00:00:00+00:00,33628160
108,1,1,2017-05-07 00:00:00+00:00,33628160
109,0,0,2017-05-14 00:00:00+00:00,33628160
110,0,0,2017-05-21 00:00:00+00:00,33628160
111,0,0,2017-05-28 00:00:00+00:00,33628160
112,1,1,2017-06-04 00:00:00+00:00,33628160
113,0,0,2017-06-11 00:00:00+00:00,33628160
114,0,0,2017-06-18 00:00:00+00:00,33628160
115,3,2,2017-06-25 00:00:00+00:00,33628160
116,0,0,2017-07-02 00:00:00+00:00,33628160
117,0,0,2017-07-09 00:00:00+00:00,33628160
118,0,0,2017-07-16 00:00:00+00:00,33628160
119,0,0,2017-07-23 00:00:00+00:00,33628160
120,0,0,2017-07-30 00:00:00+00:00,33628160
121,0,0,2017-08-06 00:00:00+00:00,33628160
122,0,0,2017-08-13 00:00:00+00:00,33628160
123,0,0,2017-08-20 00:00:00+00:00,33628160
124,0,0,2017-08-27 00:00:00+00:00,33628160
125,0,0,2017-09-03 00:00:00+00:00,33628160
126,0,0,2017-09-10 00:00:00+00:00,33628160
127,0,0,2017-09-17 00:00:00+00:00,33628160
128,0,0,2017-09-24 00:00:00+00:00,33628160
129,2,2,2017-10-01 00:00:00+00:00,33628160
130,2,2,2017-10-08 00:00:00+00:00,33628160
131,0,0,2017-10-15 00:00:00+00:00,33628160
132,0,0,2017-10-22 00:00:00+00:00,33628160
133,0,0,2017-10-29 00:00:00+00:00,33628160
134,0,0,2017-11-05 00:00:00+00:00,33628160
135,0,0,2017-11-12 00:00:00+00:00,33628160
136,0,0,2017-11-19 00:00:00+00:00,33628160
137,0,0,2017-11-26 00:00:00+00:00,33628160
138,0,0,2017-12-03 00:00:00+00:00,33628160
139,0,0,2017-12-10 00:00:00+00:00,33628160
140,0,0,2017-12-17 00:00:00+00:00,33628160
141,0,0,2017-12-24 00:00:00+00:00,33628160
142,0,0,2017-12-31 00:00:00+00:00,33628160
143,2,1,2018-01-07 00:00:00+00:00,33628160
144,0,0,2018-01-14 00:00:00+00:00,33628160
145,0,0,2018-01-21 00:00:00+00:00,33628160
146,0,0,2018-01-28 00:00:00+00:00,33628160
147,1,1,2018-02-04 00:00:00+00:00,33628160
148,0,0,2018-02-11 00:00:00+00:00,33628160
149,1,1,2018-02-18 00:00:00+00:00,33628160
150,1,1,2018-02-25 00:00:00+00:00,33628160
151,0,0,2018-03-04 00:00:00+00:00,33628160
152,0,0,2018-03-11 00:00:00+00:00,33628160
153,0,0,2018-03-18 00:00:00+00:00,33628160
154,0,0,2018-03-25 00:00:00+00:00,33628160
155,0,0,2018-04-01 00:00:00+00:00,33628160
156,0,0,2018-04-08 00:00:00+00:00,33628160
157,0,0,2018-04-15 00:00:00+00:00,33628160
158,0,0,2018-04-22 00:00:00+00:00,33628160
159,0,0,2018-04-29 00:00:00+00:00,33628160
160,0,0,2018-05-06 00:00:00+00:00,33628160
161,0,0,2018-05-13 00:00:00+00:00,33628160
162,0,0,2018-05-20 00:00:00+00:00,33628160
163,0,0,2018-05-27 00:00:00+00:00,33628160
164,0,0,2018-06-03 00:00:00+00:00,33628160
165,0,0,2018-06-10 00:00:00+00:00,33628160
