,datetime,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status,repoID
19,2019-09-01,2019,9,1,25.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,39.0,1.0,156630873
20,2019-09-08,2019,9,8,28.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,54.0,1.0,156630873
21,2019-09-15,2019,9,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,156630873
22,2019-09-22,2019,9,22,14.0,1.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,41.0,1.0,156630873
23,2019-09-29,2019,9,29,37.0,0.0,31.0,0.0,9.0,6.0,0.0,0.0,0.0,12.0,1.0,96.0,1.0,156630873
24,2019-10-06,2019,10,6,29.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,38.0,0.0,156630873
25,2019-10-13,2019,10,13,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,41.0,1.0,156630873
26,2019-10-20,2019,10,20,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,156630873
27,2019-10-27,2019,10,27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,156630873
28,2019-11-03,2019,11,3,19.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,44.0,1.0,156630873
29,2019-11-10,2019,11,10,37.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,64.0,1.0,156630873
30,2019-11-17,2019,11,17,25.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,39.0,0.0,156630873
31,2019-11-24,2019,11,24,57.0,0.0,24.0,0.0,4.0,4.0,0.0,0.0,0.0,14.0,1.0,104.0,1.0,156630873
32,2019-12-01,2019,12,1,17.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,29.0,0.0,156630873
33,2019-12-08,2019,12,8,11.0,0.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,1.0,33.0,1.0,156630873
34,2019-12-15,2019,12,15,28.0,1.0,15.0,2.0,11.0,7.0,0.0,0.0,0.0,8.0,1.0,73.0,1.0,156630873
35,2019-12-22,2019,12,22,8.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,156630873
36,2019-12-29,2019,12,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,156630873
37,2020-01-05,2020,1,5,14.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,24.0,1.0,156630873
38,2020-01-12,2020,1,12,18.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,35.0,1.0,156630873
39,2020-01-19,2020,1,19,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,156630873
40,2018-11-11,2018,11,11,,,,,,,,,,1.0,1.0,2.0,0.0,156630873
41,2018-11-18,2018,11,18,,,,,,,,,,2.0,1.0,3.0,1.0,156630873
42,2018-11-25,2018,11,25,,,,,,,,,,7.0,1.0,8.0,1.0,156630873
43,2018-12-02,2018,12,2,,,,,,,,,,8.0,2.0,10.0,1.0,156630873
44,2018-12-09,2018,12,9,,,,,,,,,,9.0,2.0,11.0,1.0,156630873
45,2018-12-16,2018,12,16,,,,,,,,,,11.0,4.0,15.0,1.0,156630873
46,2018-12-23,2018,12,23,,,,,,,,,,23.0,1.0,24.0,1.0,156630873
47,2018-12-30,2018,12,30,,,,,,,,,,0.0,0.0,0.0,0.0,156630873
48,2019-01-06,2019,1,6,,,,,,,,,,0.0,0.0,0.0,1.0,156630873
49,2019-01-13,2019,1,13,,,,,,,,,,6.0,1.0,7.0,1.0,156630873
50,2019-01-20,2019,1,20,,,,,,,,,,12.0,3.0,15.0,1.0,156630873
51,2019-01-27,2019,1,27,,,,,,,,,,3.0,1.0,4.0,0.0,156630873
52,2019-02-03,2019,2,3,,,,,,,,,,11.0,2.0,13.0,1.0,156630873
53,2019-02-10,2019,2,10,,,,,,,,,,1.0,1.0,2.0,0.0,156630873
54,2019-02-17,2019,2,17,,,,,,,,,,5.0,1.0,6.0,1.0,156630873
55,2019-02-24,2019,2,24,,,,,,,,,,11.0,3.0,14.0,1.0,156630873
56,2019-03-03,2019,3,3,,,,,,,,,,32.0,2.0,34.0,1.0,156630873
57,2019-03-10,2019,3,10,,,,,,,,,,6.0,3.0,9.0,0.0,156630873
58,2019-03-17,2019,3,17,,,,,,,,,,23.0,4.0,27.0,1.0,156630873
59,2019-03-24,2019,3,24,,,,,,,,,,44.0,3.0,47.0,1.0,156630873
60,2019-03-31,2019,3,31,,,,,,,,,,28.0,3.0,31.0,0.0,156630873
61,2019-04-07,2019,4,7,,,,,,,,,,14.0,3.0,17.0,0.0,156630873
62,2019-04-14,2019,4,14,,,,,,,,,,3.0,2.0,5.0,0.0,156630873
63,2020-01-26,2020,1,26,,,,,,,,,,5.0,1.0,6.0,1.0,156630873
64,2020-02-02,2020,2,2,,,,,,,,,,12.0,1.0,13.0,1.0,156630873
65,2020-02-09,2020,2,9,,,,,,,,,,3.0,1.0,4.0,0.0,156630873
66,2020-02-16,2020,2,16,,,,,,,,,,8.0,1.0,9.0,1.0,156630873
67,2020-02-23,2020,2,23,,,,,,,,,,8.0,1.0,9.0,1.0,156630873
68,2020-03-01,2020,3,1,,,,,,,,,,11.0,1.0,12.0,1.0,156630873
69,2020-03-08,2020,3,8,,,,,,,,,,13.0,1.0,14.0,1.0,156630873
70,2020-03-15,2020,3,15,,,,,,,,,,8.0,1.0,9.0,0.0,156630873
71,2020-03-22,2020,3,22,,,,,,,,,,14.0,1.0,15.0,1.0,156630873
72,2020-03-29,2020,3,29,,,,,,,,,,20.0,1.0,21.0,1.0,156630873
73,2020-04-05,2020,4,5,,,,,,,,,,12.0,1.0,13.0,0.0,156630873
74,2020-04-12,2020,4,12,,,,,,,,,,6.0,1.0,7.0,0.0,156630873
75,2020-04-19,2020,4,19,,,,,,,,,,14.0,1.0,15.0,1.0,156630873
76,2020-04-26,2020,4,26,,,,,,,,,,11.0,1.0,12.0,0.0,156630873
77,2020-05-03,2020,5,3,,,,,,,,,,8.0,1.0,9.0,0.0,156630873
78,2020-05-10,2020,5,10,,,,,,,,,,8.0,1.0,9.0,1.0,156630873
79,2020-05-17,2020,5,17,,,,,,,,,,1.0,1.0,2.0,0.0,156630873
80,2020-05-24,2020,5,24,,,,,,,,,,4.0,1.0,5.0,1.0,156630873
81,2020-05-31,2020,5,31,,,,,,,,,,9.0,1.0,10.0,1.0,156630873
82,2020-06-07,2020,6,7,,,,,,,,,,8.0,1.0,9.0,0.0,156630873
83,2020-06-14,2020,6,14,,,,,,,,,,6.0,1.0,7.0,0.0,156630873
84,2020-06-21,2020,6,21,,,,,,,,,,6.0,1.0,7.0,1.0,156630873
85,2020-06-28,2020,6,28,,,,,,,,,,14.0,1.0,15.0,1.0,156630873
86,2020-07-05,2020,7,5,,,,,,,,,,2.0,1.0,3.0,0.0,156630873
87,2020-07-12,2020,7,12,,,,,,,,,,4.0,1.0,5.0,1.0,156630873
88,2020-07-19,2020,7,19,,,,,,,,,,11.0,1.0,12.0,1.0,156630873
89,2020-07-26,2020,7,26,,,,,,,,,,15.0,1.0,16.0,1.0,156630873
90,2020-08-02,2020,8,2,,,,,,,,,,16.0,2.0,18.0,1.0,156630873
91,2020-08-09,2020,8,9,,,,,,,,,,13.0,1.0,14.0,0.0,156630873
92,2020-08-16,2020,8,16,,,,,,,,,,8.0,1.0,9.0,0.0,156630873
93,2020-08-23,2020,8,23,,,,,,,,,,12.0,1.0,13.0,1.0,156630873
94,2020-08-30,2020,8,30,,,,,,,,,,15.0,1.0,16.0,1.0,156630873
95,2020-09-06,2020,9,6,,,,,,,,,,14.0,1.0,15.0,1.0,156630873
96,2020-09-13,2020,9,13,,,,,,,,,,20.0,1.0,21.0,1.0,156630873
97,2020-09-20,2020,9,20,,,,,,,,,,12.0,1.0,13.0,0.0,156630873
98,2020-09-27,2020,9,27,,,,,,,,,,11.0,1.0,12.0,1.0,156630873
99,2020-10-04,2020,10,4,,,,,,,,,,9.0,1.0,10.0,0.0,156630873
100,2020-10-11,2020,10,11,,,,,,,,,,12.0,1.0,13.0,1.0,156630873
101,2020-10-18,2020,10,18,,,,,,,,,,7.0,1.0,8.0,0.0,156630873
102,2020-10-25,2020,10,25,,,,,,,,,,3.0,1.0,4.0,0.0,156630873
103,2015-01-04,2015,1,4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,7567432
104,2015-01-11,2015,1,11,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,7567432
105,2015-01-18,2015,1,18,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,7567432
106,2015-01-25,2015,1,25,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,,7567432
107,2015-02-01,2015,2,1,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,24.0,,7567432
108,2015-02-08,2015,2,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
109,2015-02-15,2015,2,15,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
110,2015-02-22,2015,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567432
111,2015-03-01,2015,3,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7567432
